Plan,Cohort Year,Month,At_Risk,Retention
premium-plus-monthly,2023,33,20,0.06451612903225806
premium-plus-monthly,2023,34,11,0.035483870967741936
premium-plus-monthly,2023,35,7,0.02258064516129032
premium-plus-monthly,2023,36,4,0.012903225806451613
premium-plus-monthly,2024,1,292,1.0
premium-plus-monthly,2024,2,290,0.9931506849315068
premium-plus-monthly,2024,3,261,0.8938356164383562
premium-plus-monthly,2024,4,253,0.8664383561643836
premium-plus-monthly,2024,5,235,0.8047945205479452
premium-plus-monthly,2024,6,226,0.773972602739726
premium-plus-monthly,2024,7,222,0.7602739726027398
premium-plus-monthly,2024,8,214,0.7328767123287672
premium-plus-monthly,2024,9,211,0.7226027397260274
premium-plus-monthly,2024,10,209,0.7157534246575342
premium-plus-monthly,2024,11,206,0.7054794520547946
premium-plus-monthly,2024,12,205,0.702054794520548
premium-plus-monthly,2024,13,203,0.6952054794520548
premium-plus-monthly,2024,14,154,0.5273972602739726
premium-plus-monthly,2024,15,137,0.4691780821917808
premium-plus-monthly,2024,16,115,0.3938356164383562
premium-plus-monthly,2024,17,100,0.3424657534246575
premium-plus-monthly,2024,18,84,0.2876712328767123
premium-plus-monthly,2024,19,70,0.23972602739726026
premium-plus-monthly,2024,20,50,0.17123287671232876
premium-plus-monthly,2024,21,38,0.13013698630136986
premium-plus-monthly,2024,22,28,0.0958904109589041
premium-plus-monthly,2024,23,20,0.0684931506849315
premium-plus-monthly,2024,24,4,0.0136986301369863
premium-plus-monthly,2025,1,81,1.0
premium-plus-monthly,2025,2,81,1.0
premium-plus-monthly,2025,3,73,0.9012345679012346
premium-plus-monthly,2025,4,68,0.8395061728395061
premium-plus-monthly,2025,5,65,0.8024691358024691
premium-plus-monthly,2025,6,65,0.8024691358024691
premium-plus-monthly,2025,7,65,0.8024691358024691
premium-plus-monthly,2025,8,65,0.8024691358024691
premium-plus-monthly,2025,9,65,0.8024691358024691
premium-plus-monthly,2025,10,48,0.5925925925925926
premium-plus-monthly,2025,11,30,0.37037037037037035
premium-plus-monthly,2025,12,21,0.25925925925925924
